name,lat,lon,base_type,top_category,sub_category,raw_tags
[서울둘레길] 21코스 / 북한산 도봉코스,37.675187,127.0296383,산책로/둘레길,느좋,둘레길/숲길,"{""distance"": ""7.3 km"", ""name"": ""[서울둘레길] 21코스 / 북한산 도봉코스"", ""name:en"": ""[Seoul Trail] Course 21 / Bukhansan Dobong Course"", ""name:ko"": ""[서울둘레길] 21코스 / 북한산 도봉코스"", ""network"": ""lwn"", ""ref"": ""21"", ""roundtrip"": ""no"", ""route"": ""hiking"", ""survey:date"": ""2024-04-17"", ""type"": ""route""}"
가을단풍길 (중랑천변길),37.6751019,127.0492313,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""dismount"", ""highway"": ""footway"", ""lit"": ""yes"", ""name"": ""가을단풍길 (중랑천변길)"", ""name:ko"": ""가을단풍길 (중랑천변길)"", ""oneway"": ""no"", ""surface"": ""ground"", ""width"": ""3""}"
간이다리,37.6612497,127.0146658,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""motor_vehicle"": ""yes"", ""name"": ""간이다리""}"
노해로66길,37.6466511,127.0499625,산책로/둘레길,느좋,둘레길/숲길,"{""highway"": ""footway"", ""name"": ""노해로66길"", ""name:en"": ""Nohae-ro 66-gil"", ""name:ko"": ""노해로66길""}"
도당로2길,37.6588135,127.0385914,산책로/둘레길,느좋,둘레길/숲길,"{""highway"": ""footway"", ""name"": ""도당로2길"", ""name:en"": ""Dodang-ro 2-gil"", ""name:ko"": ""도당로2길"", ""surface"": ""paved""}"
도봉로,37.6779409,127.0451871,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,37.6712619,127.0436423,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""3""}"
도봉로,37.6712579,127.0440838,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,37.6695801,127.0438186,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,37.6670437,127.0433713,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""uncontrolled"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,37.6660791,127.0432225,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""uncontrolled"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로,37.6696535,127.0438397,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""도봉로"", ""name:en"": ""Dobong-ro"", ""name:ko"": ""도봉로"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉로139길,37.6597482,127.0376366,산책로/둘레길,느좋,둘레길/숲길,"{""highway"": ""footway"", ""name"": ""도봉로139길"", ""name:en"": ""Dobong-ro 139-gil"", ""name:ko"": ""도봉로139길"", ""surface"": ""paved""}"
도봉로139길,37.6602135,127.0376434,산책로/둘레길,느좋,둘레길/숲길,"{""highway"": ""footway"", ""name"": ""도봉로139길"", ""name:en"": ""Dobong-ro 139-gil"", ""name:ko"": ""도봉로139길"", ""surface"": ""paved""}"
도봉로170길,37.6802395,127.047508,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""도봉로170길"", ""name:en"": ""Dobong-ro 170-gil"", ""name:ko"": ""도봉로170길"", ""surface"": ""asphalt"", ""width"": ""2""}"
도봉산역,37.6891914,127.0466943,산책로/둘레길,느좋,둘레길/숲길,"{""highway"": ""footway"", ""lit"": ""yes"", ""name"": ""도봉산역"", ""surface"": ""paving_stones"", ""width"": ""3""}"
북한산둘레길,37.6689746,127.0241304,산책로/둘레길,느좋,둘레길/숲길,"{""name"": ""북한산둘레길"", ""route"": ""hiking"", ""type"": ""route""}"
북한산둘레길,37.7035815,127.0061364,산책로/둘레길,느좋,둘레길/숲길,"{""name"": ""북한산둘레길"", ""name:en"": ""Bukhansan Dulle-gil"", ""name:ko"": ""북한산둘레길"", ""operator"": ""북한산국립공원관리공단"", ""route"": ""hiking"", ""type"": ""route""}"
북한산둘레길 18구간 도봉옛길,37.6844497,127.0300981,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""handrail"": ""yes"", ""highway"": ""footway"", ""name"": ""북한산둘레길 18구간 도봉옛길"", ""sac_scale"": ""hiking"", ""surface"": ""wood"", ""width"": ""1.6""}"
북한산둘레길 18코스 도봉옛길 (무장애 탐방구간),37.6838518,127.0305088,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""handrail"": ""yes"", ""highway"": ""footway"", ""name"": ""북한산둘레길 18코스 도봉옛길 (무장애 탐방구간)"", ""sac_scale"": ""hiking"", ""surface"": ""wood"", ""width"": ""1.6""}"
서울둘레길 1코스 수락-불암산코스,37.6551996,127.0696555,산책로/둘레길,느좋,둘레길/숲길,"{""fixme"": ""Should be splitted to courses 1, 2 and 3 according to new 21-courses splitting scheme, started in 04.2024"", ""from"": ""도봉산역"", ""name"": ""서울둘레길 1코스 수락-불암산코스"", ""name:en"": ""[Seoul Trail] Courses 1, 2, 3"", ""name:ko"": ""서울둘레길 1코스 수락-불암산코스"", ""network"": ""lwn"", ""operator"": ""서울시"", ""route"": ""hiking"", ""to"": ""철쭉동산"", ""type"": ""route""}"
중랑천 산책로,37.6633547,127.0502728,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""name:ja"": ""中浪川散策路"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6700791,127.0482495,산책로/둘레길,느좋,둘레길/숲길,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.672406,127.0485964,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt""}"
중랑천 산책로,37.6729751,127.0486691,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6794289,127.0505019,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.660838,127.0509076,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6737331,127.0487914,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6735439,127.0487454,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6668995,127.0489856,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6658404,127.0495851,산책로/둘레길,느좋,둘레길/숲길,"{""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6507054,127.0543261,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6765868,127.0496531,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6820118,127.0511762,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6712378,127.0484233,산책로/둘레길,느좋,둘레길/숲길,"{""access"": ""no"", ""bicycle"": ""no"", ""foot"": ""designated"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6689801,127.0483376,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.679887,127.0506121,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.679679,127.0505523,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""footway"": ""sidewalk"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6584996,127.0521111,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""highway"": ""footway"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 산책로,37.6561741,127.0533312,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""no"", ""bridge"": ""yes"", ""highway"": ""footway"", ""layer"": ""1"", ""name"": ""중랑천 산책로"", ""surface"": ""asphalt"", ""width"": ""2""}"
중랑천 자전거길 출입로,37.6840105,127.0517195,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""highway"": ""footway"", ""name"": ""중랑천 자전거길 출입로"", ""surface"": ""asphalt""}"
중랑천 자전거길 출입로,37.6816822,127.051083,산책로/둘레길,느좋,둘레길/숲길,"{""bicycle"": ""yes"", ""crossing"": ""marked"", ""crossing:markings"": ""yes"", ""footway"": ""crossing"", ""handrail"": ""yes"", ""highway"": ""footway"", ""lit"": ""yes"", ""name"": ""중랑천 자전거길 출입로"", ""surface"": ""asphalt""}"
한북정맥,37.9279554,127.1271416,산책로/둘레길,느좋,둘레길/숲길,"{""name"": ""한북정맥"", ""name:en"": ""Hanbuk Jeongmaek"", ""name:ko"": ""한북정맥"", ""name:ko-Hani"": ""漢北正脈"", ""name:ko-Latn"": ""Hanbuk Jeongmaek"", ""name:zh"": ""漢北正脈"", ""network"": ""nwn"", ""route"": ""hiking"", ""type"": ""route"", ""website"": ""http://www.openbaekdudaegan.org""}"
덕성여자대학교 도서관,37.650993,127.016839,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""덕성여자대학교 도서관"", ""name:en"": ""Deokseong Womans University Library"", ""name:ko"": ""덕성여자대학교 도서관"", ""name:ko-Latn"": ""Deokseongyeojadaehakgyo Doseogwan"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
도봉2동문고,37.66971,127.046498,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""도봉2동문고"", ""name:en"": ""Dobong 2 Dong Library"", ""name:ko"": ""도봉2동문고"", ""name:ko-Latn"": ""Dobong 2 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
둘리도서관,37.6521582,127.0276611,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""둘리도서관"", ""name:en"": ""Dooly library"", ""name:ja"": ""ドゥーリー図書館""}"
방학1동문고,37.664246,127.040617,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""방학1동문고"", ""name:en"": ""Banghak 1 Dong Library"", ""name:ko"": ""방학1동문고"", ""name:ko-Latn"": ""Banghak 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학2동문고,37.668283,127.034999,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""방학2동문고"", ""name:en"": ""Banghak 2 Dong Library"", ""name:ko"": ""방학2동문고"", ""name:ko-Latn"": ""Banghak 2 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학3동문고,37.659213,127.027873,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""방학3동문고"", ""name:en"": ""Banghak 3 Dong Library"", ""name:ko"": ""방학3동문고"", ""name:ko-Latn"": ""Banghak 3 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
방학4동문고,37.659888,127.023421,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""방학4동문고"", ""name:en"": ""Banghak 4 Dong Library"", ""name:ko"": ""방학4동문고"", ""name:ko-Latn"": ""Banghak 4 Dongmungo""}"
서울특별시립도봉도서관,37.652913,127.027717,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""서울특별시립도봉도서관"", ""name:en"": ""Seoul Dobong Library"", ""name:ja"": ""ソウル特別市 道峰図書館"", ""name:ko"": ""서울특별시립도봉도서관"", ""name:ko-Latn"": ""Seoulteukbyeolsiripdobongdoseogwan"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
쌍문1동문고,37.6480059,127.0259799,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""쌍문1동문고"", ""name:en"": ""Ssangmun 1 Dong Library"", ""name:ja"": ""双門1洞文庫"", ""name:ko"": ""쌍문1동문고"", ""name:ko-Latn"": ""Ssangmun 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
쌍문3동문고,37.6489104,127.0280041,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""쌍문3동문고"", ""name:en"": ""Ssangmun 3 Dong Library"", ""name:ko"": ""쌍문3동문고"", ""name:ko-Latn"": ""Ssangmun 3 Dongmungo""}"
쌍문4동문고,37.655316,127.028491,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""쌍문4동문고"", ""name:en"": ""Ssangmun 4 Dong Library"", ""name:ja"": ""雙門4洞文庫"", ""name:ko"": ""쌍문4동문고"", ""name:ko-Latn"": ""Ssangmun 4 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
쌍문역 작은 도서관,37.6474391,127.0342409,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""쌍문역 작은 도서관""}"
창1동문고,37.648403,127.043767,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""창1동문고"", ""name:en"": ""Chang 1 Dong Library"", ""name:ko"": ""창1동문고"", ""name:ko-Latn"": ""Chang 1 Dongmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
창2동새마을문고,37.641379,127.035482,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""창2동새마을문고"", ""name:en"": ""Chang 2 Dongsae Village Library"", ""name:ko"": ""창2동새마을문고"", ""name:ko-Latn"": ""Chang 2 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
창3동새마을문고,37.637273,127.042516,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""창3동새마을문고"", ""name:en"": ""Chang 3 Dongsae Village Library"", ""name:ko"": ""창3동새마을문고"", ""name:ko-Latn"": ""Chang 3 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
창4동새마을문고,37.652259,127.051481,도서관,느좋,작은도서관,"{""amenity"": ""library"", ""name"": ""창4동새마을문고"", ""name:en"": ""Chang 4 Dongsae Village Library"", ""name:ko"": ""창4동새마을문고"", ""name:ko-Latn"": ""Chang 4 Dongsaemaeulmungo"", ""ncat"": ""도서관"", ""source"": ""http://kr.open.gugi.yahoo.com""}"
마당바위,37.6941013,127.0171312,전망/명소,느좋,전망대,"{""ele"": ""454"", ""name"": ""마당바위"", ""name:en"": ""Madang Rock"", ""name:ko"": ""마당바위"", ""name:ko-Latn"": ""Madangbawi"", ""tourism"": ""attraction""}"
서울둘레길8코스북한산6스탬프,37.6860937,127.0363943,전망/명소,느좋,전망대,"{""amenity"": ""post_box"", ""hiking"": ""yes"", ""name"": ""서울둘레길8코스북한산6스탬프"", ""name:en"": ""[Seoul Trail] Stamp Deck"", ""tourism"": ""attraction""}"
신선대,37.6986404,127.0150277,전망/명소,느좋,전망대,"{""ele"": ""726"", ""name"": ""신선대"", ""name:en"": ""Sinseondae"", ""name:ko"": ""신선대"", ""name:ko-Latn"": ""Sinseondae"", ""tourism"": ""viewpoint"", ""wpt_description"": ""비선대""}"
쌍둥이전망대,37.6738479,127.0292746,전망/명소,느좋,전망대,"{""access"": ""yes"", ""direction"": ""0-360"", ""name"": ""쌍둥이전망대"", ""name:en"": ""Ssangdungi Observatory"", ""name:ko"": ""쌍둥이전망대"", ""tourism"": ""viewpoint""}"
전망대,37.7009803,127.0158483,전망/명소,느좋,전망대,"{""name"": ""전망대"", ""name:en"": ""Observatory"", ""tourism"": ""viewpoint""}"
bbq,37.6562121,127.027942,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""62"", ""addr:street"": ""시루봉길 (Sirubong-gil)"", ""addr:subdistrict"": ""쌍문동"", ""amenity"": ""restaurant"", ""cuisine"": ""chicken"", ""delivery"": ""yes"", ""name"": ""bbq""}"
경복궁,37.6589836,127.0412533,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""cuisine"": ""korean"", ""name"": ""경복궁""}"
고기굽는베베,37.6691582,127.043278,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""cuisine"": ""barbecue"", ""name"": ""고기굽는베베"", ""name:ko"": ""고기굽는베베""}"
구룡포물회,37.6493895,127.0344304,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""구룡포물회""}"
김밥나라,37.6839227,127.0455894,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""6"", ""addr:postcode"": ""01303"", ""addr:street"": ""도봉로181길"", ""addr:subdistrict"": ""도봉동"", ""amenity"": ""restaurant"", ""name"": ""김밥나라"", ""opening_hours"": ""24/7"", ""phone"": ""+82 2 956 8880""}"
남경,37.6510614,127.0414314,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""cuisine"": ""chinese"", ""name"": ""남경""}"
네바다횟집,37.6461869,127.0369697,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""cuisine"": ""sushi"", ""name"": ""네바다횟집""}"
대운떡볶이,37.6444523,127.0304133,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""37"", ""addr:street"": ""도봉로97길"", ""addr:subdistrict"": ""쌍문동"", ""amenity"": ""restaurant"", ""name"": ""대운떡볶이""}"
도봉산두부,37.6862212,127.0378376,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""도봉산두부""}"
