name,lat,lon,base_type,top_category,sub_category,raw_tags,osm_type,osm_id
경복궁,37.6589836,127.0412533,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""cuisine"": ""korean"", ""name"": ""경복궁""}",node,12598801050
치킨매니아,37.6604397,127.0242893,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""25"", ""addr:postcode"": ""01362"", ""addr:street"": ""방학로15길"", ""addr:subdistrict"": ""방학동"", ""amenity"": ""restaurant"", ""cuisine"": ""chicken"", ""delivery"": ""yes"", ""name"": ""치킨매니아"", ""opening_hours"": ""15:00-02:00"", ""takeaway"": ""yes""}",node,4642465069
천수함방삼계탕,37.660308,127.0238985,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""cuisine"": ""regional"", ""name"": ""천수함방삼계탕""}",node,4642472928
한국SGI도봉문화회관,37.662122,127.03424,문화공간,숨은핫플,갤러리/문화공간,"{""amenity"": ""arts_centre"", ""name"": ""한국SGI도봉문화회관"", ""name:en"": ""Korea SGI Dobong Cultural Center"", ""name:ko"": ""한국SGI도봉문화회관"", ""name:ko-Latn"": ""Hanguk SGI Dobongmunhwahoegwan"", ""ncat"": ""예술회관"", ""source"": ""http://kr.open.gugi.yahoo.com""}",node,368874340
천수한방삼계탕,37.6629615,127.0345331,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""53"", ""addr:postcode"": ""01356"", ""addr:street"": ""도당로"", ""addr:subdistrict"": ""방학동"", ""amenity"": ""restaurant"", ""cuisine"": ""regional"", ""name"": ""천수한방삼계탕""}",node,4642510123
은행골,37.6709524,127.0465662,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""cuisine"": ""sushi"", ""name"": ""은행골""}",node,6468467452
고기굽는베베,37.6691582,127.043278,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""cuisine"": ""barbecue"", ""name"": ""고기굽는베베"", ""name:ko"": ""고기굽는베베""}",node,7150443862
콘 타코,37.6775811,127.0437623,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:floor"": ""1"", ""addr:housenumber"": ""45"", ""addr:postcode"": ""01307"", ""addr:street"": ""도봉로169나길"", ""addr:subdistrict"": ""도봉동"", ""amenity"": ""restaurant"", ""cuisine"": ""mexican"", ""name"": ""콘 타코"", ""opening_hours"": ""Mo-Sa 11:30-21:00""}",node,12495088969
도봉산두부,37.6862212,127.0378376,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""도봉산두부""}",node,11664346225
음식점,37.686173,127.0369005,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""음식점""}",node,11664346227
김밥나라,37.6839227,127.0455894,식당,숨은핫플,개성있는 식당,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""6"", ""addr:postcode"": ""01303"", ""addr:street"": ""도봉로181길"", ""addr:subdistrict"": ""도봉동"", ""amenity"": ""restaurant"", ""name"": ""김밥나라"", ""opening_hours"": ""24/7"", ""phone"": ""+82 2 956 8880""}",node,7669685511
심마니한방삼계탕,37.6869689,127.0405722,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""name"": ""심마니한방삼계탕""}",node,11664417496
엘지트윈문고,37.6557502,127.027822,서점,숨은핫플,독립/테마서점,"{""addr:city"": ""서울특별시"", ""addr:district"": ""도봉구"", ""addr:housenumber"": ""57"", ""addr:postcode"": ""01375"", ""addr:street"": ""시루봉로"", ""addr:subdistrict"": ""쌍문동"", ""building"": ""yes"", ""name"": ""엘지트윈문고"", ""shop"": ""books""}",way,856402212
설담재,37.6548469,127.0391441,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""building"": ""yes"", ""cuisine"": ""korean"", ""name"": ""설담재""}",way,1204389857
시소,37.6581721,127.0364191,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""building"": ""commercial"", ""cuisine"": ""sushi"", ""name"": ""시소""}",way,1204389871
메이 유러피안 다이닝,37.6779518,127.0354026,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""building"": ""yes"", ""cuisine"": ""western"", ""name"": ""메이 유러피안 다이닝"", ""name:en"": ""May European Dining"", ""name:ko"": ""메이 유러피안 다이닝""}",way,1122850383
봉래면옥,37.6889032,127.0443231,식당,숨은핫플,개성있는 식당,"{""amenity"": ""restaurant"", ""building"": ""yes"", ""cuisine"": ""noodle"", ""name"": ""봉래면옥""}",way,316772089
